Market,Week,Week_Date,Units_A,Boxes_A,CBM_A,LCL_Boxes_A,LCL_Units_A,LCL_CBM_A,Units_B,Boxes_B,CBM_B,LCL_Boxes_B,LCL_Units_B,LCL_CBM_B,Units_F,Boxes_F,CBM_F,LCL_Boxes_F,LCL_Units_F,LCL_CBM_F,Total_Demand_CBM,n40,n20,LCL_CBM,Coverage_CBM,Slack_CBM,Cost_40,Cost_20,Cost_LCL,Cost,Units_C,Boxes_C,CBM_C,LCL_Boxes_C,LCL_Units_C,LCL_CBM_C,Units_D,Boxes_D,CBM_D,LCL_Boxes_D,LCL_Units_D,LCL_CBM_D,Units_E,Boxes_E,CBM_E,LCL_Boxes_E,LCL_Units_E,LCL_CBM_E
US,7,2026-06-01,13773.0,3444.0,34.44,0.0,0.0,0.0,7123.0,1781.0,11.13125,0.0,0.0,0.0,4500.0,563.0,4.398438,0.0,0.0,0.0,49.969687,1,0,0.0,65.0,15.030313,5200.0,0.0,0.0,5200.0,,,,,,,,,,,,,,,,,,
UK,7,2026-06-01,,,,,,,,,,,,,,,,,,,17.76875,0,0,17.76875,17.76875,0.0,0.0,0.0,1243.81,1243.81,3240.0,1620.0,16.2,1620.0,3240.0,16.2,1001.0,251.0,1.56875,251.0,1004.0,1.56875,,,,,,
AU,7,2026-06-01,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,8,2026-06-08,7058.0,1765.0,17.65,0.0,0.0,0.0,5309.0,1328.0,8.3,376.0,1504.0,2.35,4500.0,563.0,4.398438,0.0,0.0,0.0,30.348438,0,1,2.35,30.35,0.001562,0.0,3000.0,470.0,3470.0,,,,,,,,,,,,,,,,,,
UK,8,2026-06-08,,,,,,,,,,,,,,,,,,,36.0725,0,0,36.0725,36.0725,0.0,0.0,0.0,2525.07,2525.07,6442.0,3221.0,32.21,3221.0,6442.0,32.21,2471.0,618.0,3.8625,618.0,2472.0,3.8625,,,,,,
AU,8,2026-06-08,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,9,2026-06-15,2040.0,510.0,5.1,0.0,0.0,0.0,5309.0,1328.0,8.3,0.0,0.0,0.0,2200.0,275.0,2.148438,0.0,0.0,0.0,15.548438,0,1,0.0,28.0,12.451562,0.0,3000.0,0.0,3000.0,,,,,,,,,,,,,,,,,,
UK,9,2026-06-15,,,,,,,,,,,,,,,,,,,49.41625,0,0,49.41625,49.41625,0.0,0.0,0.0,3459.14,3459.14,8802.0,4401.0,44.01,4401.0,8802.0,44.01,3458.0,865.0,5.40625,865.0,3460.0,5.40625,,,,,,
AU,9,2026-06-15,,,,,,,,,,,,,,,,,,,0.9375,0,0,0.9375,0.9375,0.0,0.0,0.0,32.81,32.81,,,,,,,,,,,,,300.0,150.0,0.9375,150.0,300.0,0.9375
US,10,2026-06-22,3541.0,886.0,8.86,0.0,0.0,0.0,3000.0,750.0,4.6875,0.0,0.0,0.0,5000.0,625.0,4.882812,0.0,0.0,0.0,18.430312,0,1,0.0,28.0,9.569688,0.0,3000.0,0.0,3000.0,,,,,,,,,,,,,,,,,,
UK,10,2026-06-22,,,,,,,,,,,,,,,,,,,39.26125,0,0,39.26125,39.26125,0.0,0.0,0.0,2748.29,2748.29,7695.0,3848.0,38.48,3848.0,7696.0,38.48,500.0,125.0,0.78125,125.0,500.0,0.78125,,,,,,
AU,10,2026-06-22,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,11,2026-06-29,12041.0,3011.0,30.11,0.0,0.0,0.0,3000.0,750.0,4.6875,0.0,0.0,0.0,4300.0,538.0,4.203125,0.0,0.0,0.0,39.000625,1,0,0.0,65.0,25.999375,5200.0,0.0,0.0,5200.0,,,,,,,,,,,,,,,,,,
UK,11,2026-06-29,,,,,,,,,,,,,,,,,,,13.28125,0,0,13.28125,13.28125,0.0,0.0,0.0,929.69,929.69,2500.0,1250.0,12.5,1250.0,2500.0,12.5,500.0,125.0,0.78125,125.0,500.0,0.78125,,,,,,
AU,11,2026-06-29,,,,,,,,,,,,,,,,,,,2.1875,0,0,2.1875,2.1875,0.0,0.0,0.0,76.56,76.56,,,,,,,,,,,,,700.0,350.0,2.1875,350.0,700.0,2.1875
US,12,2026-07-06,12040.0,3010.0,30.1,0.0,0.0,0.0,3000.0,750.0,4.6875,0.0,0.0,0.0,4700.0,588.0,4.59375,0.0,0.0,0.0,39.38125,1,0,0.0,65.0,25.61875,5200.0,0.0,0.0,5200.0,,,,,,,,,,,,,,,,,,
UK,12,2026-07-06,,,,,,,,,,,,,,,,,,,13.28125,0,0,13.28125,13.28125,0.0,0.0,0.0,929.69,929.69,2500.0,1250.0,12.5,1250.0,2500.0,12.5,500.0,125.0,0.78125,125.0,500.0,0.78125,,,,,,
AU,12,2026-07-06,,,,,,,,,,,,,,,,,,,0.9375,0,0,0.9375,0.9375,0.0,0.0,0.0,32.81,32.81,,,,,,,,,,,,,300.0,150.0,0.9375,150.0,300.0,0.9375
US,13,2026-07-13,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,750.0,4.6875,750.0,3000.0,4.6875,4746.0,594.0,4.640625,594.0,4752.0,4.640625,9.328125,0,0,9.328125,9.328125,0.0,0.0,0.0,1865.62,1865.62,,,,,,,,,,,,,,,,,,
UK,13,2026-07-13,,,,,,,,,,,,,,,,,,,13.28125,0,0,13.28125,13.28125,0.0,0.0,0.0,929.69,929.69,2500.0,1250.0,12.5,1250.0,2500.0,12.5,500.0,125.0,0.78125,125.0,500.0,0.78125,,,,,,
AU,13,2026-07-13,,,,,,,,,,,,,,,,,,,0.9375,0,0,0.9375,0.9375,0.0,0.0,0.0,32.81,32.81,,,,,,,,,,,,,300.0,150.0,0.9375,150.0,300.0,0.9375
US,14,2026-07-20,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,600.0,3.75,600.0,2400.0,3.75,4300.0,538.0,4.203125,538.0,4304.0,4.203125,7.953125,0,0,7.953125,7.953125,0.0,0.0,0.0,1590.62,1590.62,,,,,,,,,,,,,,,,,,
UK,14,2026-07-20,,,,,,,,,,,,,,,,,,,5.0,0,0,5.0,5.0,0.0,0.0,0.0,350.0,350.0,1000.0,500.0,5.0,500.0,1000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
AU,14,2026-07-20,,,,,,,,,,,,,,,,,,,0.9375,0,0,0.9375,0.9375,0.0,0.0,0.0,32.81,32.81,,,,,,,,,,,,,300.0,150.0,0.9375,150.0,300.0,0.9375
US,15,2026-07-27,27760.0,6940.0,69.4,440.0,1760.0,4.4,2400.0,600.0,3.75,600.0,2400.0,3.75,476.0,60.0,0.46875,60.0,480.0,0.46875,73.61875,1,0,8.61875,73.61875,0.0,5200.0,0.0,1723.75,6923.75,,,,,,,,,,,,,,,,,,
UK,15,2026-07-27,,,,,,,,,,,,,,,,,,,5.0,0,0,5.0,5.0,0.0,0.0,0.0,350.0,350.0,1000.0,500.0,5.0,500.0,1000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
AU,15,2026-07-27,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,16,2026-08-03,26486.0,6622.0,66.22,122.0,488.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,1298.0,163.0,1.273438,163.0,1304.0,1.273438,67.493437,1,0,2.493437,67.493437,0.0,5200.0,0.0,498.69,5698.69,,,,,,,,,,,,,,,,,,
UK,16,2026-08-03,,,,,,,,,,,,,,,,,,,5.625,0,0,5.625,5.625,0.0,0.0,0.0,393.75,393.75,1000.0,500.0,5.0,500.0,1000.0,5.0,400.0,100.0,0.625,100.0,400.0,0.625,,,,,,
AU,16,2026-08-03,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,17,2026-08-10,4248.0,1062.0,10.62,0.0,0.0,0.0,2400.0,600.0,3.75,0.0,0.0,0.0,1300.0,163.0,1.273438,0.0,0.0,0.0,15.643438,0,1,0.0,28.0,12.356562,0.0,3000.0,0.0,3000.0,,,,,,,,,,,,,,,,,,
UK,17,2026-08-10,,,,,,,,,,,,,,,,,,,5.0,0,0,5.0,5.0,0.0,0.0,0.0,350.0,350.0,1000.0,500.0,5.0,500.0,1000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
AU,17,2026-08-10,,,,,,,,,,,,,,,,,,,0.9375,0,0,0.9375,0.9375,0.0,0.0,0.0,32.81,32.81,,,,,,,,,,,,,300.0,150.0,0.9375,150.0,300.0,0.9375
US,18,2026-08-17,4248.0,1062.0,10.62,0.0,0.0,0.0,2400.0,600.0,3.75,0.0,0.0,0.0,1298.0,163.0,1.273438,0.0,0.0,0.0,15.643438,0,1,0.0,28.0,12.356562,0.0,3000.0,0.0,3000.0,,,,,,,,,,,,,,,,,,
UK,18,2026-08-17,,,,,,,,,,,,,,,,,,,5.0,0,0,5.0,5.0,0.0,0.0,0.0,350.0,350.0,1000.0,500.0,5.0,500.0,1000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
AU,18,2026-08-17,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,19,2026-08-24,4249.0,1063.0,10.63,0.0,0.0,0.0,3750.0,938.0,5.8625,0.0,0.0,0.0,1506.0,189.0,1.476562,0.0,0.0,0.0,17.969062,0,1,0.0,28.0,10.030938,0.0,3000.0,0.0,3000.0,,,,,,,,,,,,,,,,,,
UK,19,2026-08-24,,,,,,,,,,,,,,,,,,,4.375,0,0,4.375,4.375,0.0,0.0,0.0,306.25,306.25,750.0,375.0,3.75,375.0,750.0,3.75,400.0,100.0,0.625,100.0,400.0,0.625,,,,,,
AU,19,2026-08-24,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,20,2026-08-31,4248.0,1062.0,10.62,0.0,0.0,0.0,3750.0,938.0,5.8625,0.0,0.0,0.0,1506.0,189.0,1.476562,0.0,0.0,0.0,17.959063,0,1,0.0,28.0,10.040937,0.0,3000.0,0.0,3000.0,,,,,,,,,,,,,,,,,,
UK,20,2026-08-31,,,,,,,,,,,,,,,,,,,3.75,0,0,3.75,3.75,0.0,0.0,0.0,262.5,262.5,750.0,375.0,3.75,375.0,750.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
AU,20,2026-08-31,,,,,,,,,,,,,,,,,,,0.9375,0,0,0.9375,0.9375,0.0,0.0,0.0,32.81,32.81,,,,,,,,,,,,,300.0,150.0,0.9375,150.0,300.0,0.9375
US,21,2026-09-07,2391.0,598.0,5.98,598.0,2392.0,5.98,3750.0,938.0,5.8625,938.0,3752.0,5.8625,1506.0,189.0,1.476562,189.0,1512.0,1.476562,13.319063,0,0,13.319063,13.319063,0.0,0.0,0.0,2663.81,2663.81,,,,,,,,,,,,,,,,,,
UK,21,2026-09-07,,,,,,,,,,,,,,,,,,,4.375,0,0,4.375,4.375,0.0,0.0,0.0,306.25,306.25,750.0,375.0,3.75,375.0,750.0,3.75,400.0,100.0,0.625,100.0,400.0,0.625,,,,,,
AU,21,2026-09-07,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,22,2026-09-14,2392.0,598.0,5.98,598.0,2392.0,5.98,3750.0,938.0,5.8625,938.0,3752.0,5.8625,1506.0,189.0,1.476562,189.0,1512.0,1.476562,13.319063,0,0,13.319063,13.319063,0.0,0.0,0.0,2663.81,2663.81,,,,,,,,,,,,,,,,,,
UK,22,2026-09-14,,,,,,,,,,,,,,,,,,,3.75,0,0,3.75,3.75,0.0,0.0,0.0,262.5,262.5,750.0,375.0,3.75,375.0,750.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
AU,22,2026-09-14,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,23,2026-09-21,2391.0,598.0,5.98,598.0,2392.0,5.98,3000.0,750.0,4.6875,750.0,3000.0,4.6875,1446.0,181.0,1.414062,181.0,1448.0,1.414062,12.081563,0,0,12.081563,12.081563,0.0,0.0,0.0,2416.31,2416.31,,,,,,,,,,,,,,,,,,
UK,23,2026-09-21,,,,,,,,,,,,,,,,,,,3.5625,0,0,3.5625,3.5625,0.0,0.0,0.0,249.38,249.38,600.0,300.0,3.0,300.0,600.0,3.0,360.0,90.0,0.5625,90.0,360.0,0.5625,,,,,,
AU,23,2026-09-21,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,24,2026-09-28,2392.0,598.0,5.98,598.0,2392.0,5.98,3000.0,750.0,4.6875,750.0,3000.0,4.6875,0.0,0.0,0.0,0.0,0.0,0.0,10.6675,0,0,10.6675,10.6675,0.0,0.0,0.0,2133.5,2133.5,,,,,,,,,,,,,,,,,,
UK,24,2026-09-28,,,,,,,,,,,,,,,,,,,3.5625,0,0,3.5625,3.5625,0.0,0.0,0.0,249.38,249.38,600.0,300.0,3.0,300.0,600.0,3.0,360.0,90.0,0.5625,90.0,360.0,0.5625,,,,,,
AU,24,2026-09-28,,,,,,,,,,,,,,,,,,,0.9375,0,0,0.9375,0.9375,0.0,0.0,0.0,32.81,32.81,,,,,,,,,,,,,300.0,150.0,0.9375,150.0,300.0,0.9375
US,25,2026-10-05,16017.0,4005.0,40.05,0.0,0.0,0.0,3000.0,750.0,4.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.7375,1,0,0.0,65.0,20.2625,5200.0,0.0,0.0,5200.0,,,,,,,,,,,,,,,,,,
UK,25,2026-10-05,,,,,,,,,,,,,,,,,,,3.5625,0,0,3.5625,3.5625,0.0,0.0,0.0,249.38,249.38,600.0,300.0,3.0,300.0,600.0,3.0,360.0,90.0,0.5625,90.0,360.0,0.5625,,,,,,
AU,25,2026-10-05,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,26,2026-10-12,16017.0,4005.0,40.05,0.0,0.0,0.0,3000.0,750.0,4.6875,0.0,0.0,0.0,1448.0,181.0,1.414062,0.0,0.0,0.0,46.151563,1,0,0.0,65.0,18.848437,5200.0,0.0,0.0,5200.0,,,,,,,,,,,,,,,,,,
UK,26,2026-10-12,,,,,,,,,,,,,,,,,,,3.5625,0,0,3.5625,3.5625,0.0,0.0,0.0,249.38,249.38,600.0,300.0,3.0,300.0,600.0,3.0,360.0,90.0,0.5625,90.0,360.0,0.5625,,,,,,
AU,26,2026-10-12,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,27,2026-10-19,16016.0,4004.0,40.04,0.0,0.0,0.0,3000.0,750.0,4.6875,0.0,0.0,0.0,1448.0,181.0,1.414062,0.0,0.0,0.0,46.141562,1,0,0.0,65.0,18.858438,5200.0,0.0,0.0,5200.0,,,,,,,,,,,,,,,,,,
UK,27,2026-10-19,,,,,,,,,,,,,,,,,,,3.5625,0,0,3.5625,3.5625,0.0,0.0,0.0,249.38,249.38,600.0,300.0,3.0,300.0,600.0,3.0,360.0,90.0,0.5625,90.0,360.0,0.5625,,,,,,
AU,27,2026-10-19,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,28,2026-10-26,16017.0,4005.0,40.05,0.0,0.0,0.0,6250.0,1563.0,9.76875,0.0,0.0,0.0,1448.0,181.0,1.414062,0.0,0.0,0.0,51.232813,1,0,0.0,65.0,13.767187,5200.0,0.0,0.0,5200.0,,,,,,,,,,,,,,,,,,
UK,28,2026-10-26,,,,,,,,,,,,,,,,,,,4.0625,0,0,4.0625,4.0625,0.0,0.0,0.0,284.38,284.38,500.0,250.0,2.5,250.0,500.0,2.5,1000.0,250.0,1.5625,250.0,1000.0,1.5625,,,,,,
AU,28,2026-10-26,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,29,2026-11-02,4281.0,1071.0,10.71,0.0,0.0,0.0,6250.0,1563.0,9.76875,0.0,0.0,0.0,1754.0,220.0,1.71875,0.0,0.0,0.0,22.1975,0,1,0.0,28.0,5.8025,0.0,3000.0,0.0,3000.0,,,,,,,,,,,,,,,,,,
UK,29,2026-11-02,,,,,,,,,,,,,,,,,,,4.0625,0,0,4.0625,4.0625,0.0,0.0,0.0,284.38,284.38,500.0,250.0,2.5,250.0,500.0,2.5,1000.0,250.0,1.5625,250.0,1000.0,1.5625,,,,,,
AU,29,2026-11-02,,,,,,,,,,,,,,,,,,,0.9375,0,0,0.9375,0.9375,0.0,0.0,0.0,32.81,32.81,,,,,,,,,,,,,300.0,150.0,0.9375,150.0,300.0,0.9375
US,30,2026-11-09,4282.0,1071.0,10.71,0.0,0.0,0.0,6250.0,1563.0,9.76875,0.0,0.0,0.0,1756.0,220.0,1.71875,0.0,0.0,0.0,22.1975,0,1,0.0,28.0,5.8025,0.0,3000.0,0.0,3000.0,,,,,,,,,,,,,,,,,,
UK,30,2026-11-09,,,,,,,,,,,,,,,,,,,4.0625,0,0,4.0625,4.0625,0.0,0.0,0.0,284.38,284.38,500.0,250.0,2.5,250.0,500.0,2.5,1000.0,250.0,1.5625,250.0,1000.0,1.5625,,,,,,
AU,30,2026-11-09,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,31,2026-11-16,4281.0,1071.0,10.71,0.0,0.0,0.0,6250.0,1563.0,9.76875,0.0,0.0,0.0,1756.0,220.0,1.71875,0.0,0.0,0.0,22.1975,0,1,0.0,28.0,5.8025,0.0,3000.0,0.0,3000.0,,,,,,,,,,,,,,,,,,
UK,31,2026-11-16,,,,,,,,,,,,,,,,,,,4.0625,0,0,4.0625,4.0625,0.0,0.0,0.0,284.38,284.38,500.0,250.0,2.5,250.0,500.0,2.5,1000.0,250.0,1.5625,250.0,1000.0,1.5625,,,,,,
AU,31,2026-11-16,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,32,2026-11-23,4282.0,1071.0,10.71,0.0,0.0,0.0,6250.0,1563.0,9.76875,0.0,0.0,0.0,1756.0,220.0,1.71875,0.0,0.0,0.0,22.1975,0,1,0.0,28.0,5.8025,0.0,3000.0,0.0,3000.0,,,,,,,,,,,,,,,,,,
UK,32,2026-11-23,,,,,,,,,,,,,,,,,,,16.95625,0,0,16.95625,16.95625,0.0,0.0,0.0,1186.94,1186.94,3000.0,1500.0,15.0,1500.0,3000.0,15.0,1250.0,313.0,1.95625,313.0,1252.0,1.95625,,,,,,
AU,32,2026-11-23,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,33,2026-11-30,4281.0,1071.0,10.71,0.0,0.0,0.0,6250.0,1563.0,9.76875,0.0,0.0,0.0,1928.0,241.0,1.882812,0.0,0.0,0.0,22.361563,0,1,0.0,28.0,5.638437,0.0,3000.0,0.0,3000.0,,,,,,,,,,,,,,,,,,
UK,33,2026-11-30,,,,,,,,,,,,,,,,,,,16.95625,0,0,16.95625,16.95625,0.0,0.0,0.0,1186.94,1186.94,3000.0,1500.0,15.0,1500.0,3000.0,15.0,1250.0,313.0,1.95625,313.0,1252.0,1.95625,,,,,,
AU,33,2026-11-30,,,,,,,,,,,,,,,,,,,0.9375,0,0,0.9375,0.9375,0.0,0.0,0.0,32.81,32.81,,,,,,,,,,,,,300.0,150.0,0.9375,150.0,300.0,0.9375
US,34,2026-12-07,8326.0,2082.0,20.82,0.0,0.0,0.0,6250.0,1563.0,9.76875,717.0,2868.0,4.48125,1930.0,242.0,1.890625,0.0,0.0,0.0,32.479375,0,1,4.48125,32.48125,0.001875,0.0,3000.0,896.25,3896.25,,,,,,,,,,,,,,,,,,
UK,34,2026-12-07,,,,,,,,,,,,,,,,,,,16.95625,0,0,16.95625,16.95625,0.0,0.0,0.0,1186.94,1186.94,3000.0,1500.0,15.0,1500.0,3000.0,15.0,1250.0,313.0,1.95625,313.0,1252.0,1.95625,,,,,,
AU,34,2026-12-07,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
US,35,2026-12-14,8325.0,2082.0,20.82,33.0,132.0,0.33,6250.0,1563.0,9.76875,409.0,1636.0,2.55625,1928.0,241.0,1.882812,203.0,1624.0,1.585938,32.471563,0,1,4.472188,32.472188,0.000625,0.0,3000.0,894.44,3894.44,,,,,,,,,,,,,,,,,,
UK,35,2026-12-14,,,,,,,,,,,,,,,,,,,16.95625,0,0,16.95625,16.95625,0.0,0.0,0.0,1186.94,1186.94,3000.0,1500.0,15.0,1500.0,3000.0,15.0,1250.0,313.0,1.95625,313.0,1252.0,1.95625,,,,,,
AU,35,2026-12-14,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
